id;msisdn;imsi;imei_number;sent
1;Extension Computer;Account Account;azure HDD;false
2;portal program Consultant;Cambridgeshire deposit programming;Pants Health;true
3;visualize Gloves;Principal;Specialist interfaces installation;true
4;Awesome;bypass Upgradable;synergies;true
5;Sausages Florida;homogeneous;emulation National;false
6;Assurance Ohio;programming state markets;infrastructures Borders;false
7;Junction deg optimize;Branding Loan projection;firewall;false
8;Dinar;Fresh;Ergonomic generation Loan;false
9;Florida Berkshire Arkansas;synthesize;Soft;false
10;Handcrafted;invoice;out-of-the-box circuit array;true
